Date,company_name,Amount,Exchange,Segment,scrip_code,Instrument Type,Strike Price,Expiry,Trade Num,Trade Time,side,quantity,price,yahoo_ticker,yahoo_stock_name
2022-11-09 00:00:00,CIGNITI TECH,1162.9,NSE,EQ,534758,Equity,,,1100280,09:53:06,Sell,2,581.45,CIGNITITEC.NS,
2022-11-09 00:00:00,CIGNITI TECH,1162.7,NSE,EQ,534758,Equity,,,1100281,09:53:06,Sell,2,581.35,CIGNITITEC.NS,
2022-11-09 00:00:00,CIGNITI TECH,581.35,NSE,EQ,534758,Equity,,,1100282,09:53:06,Sell,1,581.35,CIGNITITEC.NS,
2022-11-09 00:00:00,CIGNITI TECH,581.35,NSE,EQ,534758,Equity,,,1100283,09:53:06,Sell,1,581.35,CIGNITITEC.NS,
2022-11-09 00:00:00,CIGNITI TECH,4069.45,NSE,EQ,534758,Equity,,,1100284,09:53:06,Sell,7,581.35,CIGNITITEC.NS,
2022-11-09 00:00:00,CIGNITI TECH,1743.9,NSE,EQ,534758,Equity,,,1100285,09:53:06,Sell,3,581.3,CIGNITITEC.NS,
2022-11-09 00:00:00,CIGNITI TECH,10463.4,NSE,EQ,534758,Equity,,,1100286,09:53:06,Sell,18,581.3,CIGNITITEC.NS,
2022-11-09 00:00:00,CIGNITI TECH,581.25,NSE,EQ,534758,Equity,,,1100287,09:53:06,Sell,1,581.25,CIGNITITEC.NS,
2022-11-09 00:00:00,Bharat Dynamics Limited,5962.5,NSE,EQ,541143,Equity,,,1169502,09:56:51,Buy,6,993.75,BDL.NS,
2022-11-07 00:00:00,GHCL LTD,3743.7,NSE,EQ,500171,Equity,,,26281856,10:12:59,Buy,6,623.95,GHCL.NS,
2022-11-07 00:00:00,GHCL LTD,14350.85,NSE,EQ,500171,Equity,,,26281857,10:12:59,Buy,23,623.95,GHCL.NS,
2022-11-07 00:00:00,GHCL LTD,4368,NSE,EQ,500171,Equity,,,26281858,10:12:59,Buy,7,624,GHCL.NS,
2022-11-07 00:00:00,GHCL LTD,624,NSE,EQ,500171,Equity,,,26281859,10:12:59,Buy,1,624,GHCL.NS,
2022-11-07 00:00:00,GHCL LTD,4368,NSE,EQ,500171,Equity,,,26281860,10:12:59,Buy,7,624,GHCL.NS,
2022-11-07 00:00:00,GHCL LTD,624,NSE,EQ,500171,Equity,,,26281861,10:12:59,Buy,1,624,GHCL.NS,
2022-11-07 00:00:00,GHCL LTD,4368,NSE,EQ,500171,Equity,,,26281862,10:12:59,Buy,7,624,GHCL.NS,
2022-11-07 00:00:00,GHCL LTD,624,NSE,EQ,500171,Equity,,,26281863,10:12:59,Buy,1,624,GHCL.NS,
2022-11-07 00:00:00,GHCL LTD,4368,NSE,EQ,500171,Equity,,,26281864,10:12:59,Buy,7,624,GHCL.NS,
2022-11-07 00:00:00,ANDHR PR PM,3754,NSE,EQ,502330,Equity,,,3481337,13:42:25,Buy,8,469.25,ANDHRAPAP.NS,
2022-11-07 00:00:00,ANDHR PR PM,469.3,NSE,EQ,502330,Equity,,,3481338,13:42:25,Buy,1,469.3,ANDHRAPAP.NS,
2022-11-07 00:00:00,ANDHR PR PM,469.4,NSE,EQ,502330,Equity,,,3481339,13:42:25,Buy,1,469.4,ANDHRAPAP.NS,
2022-11-07 00:00:00,ANDHR PR PM,4694.5,NSE,EQ,502330,Equity,,,3481340,13:42:25,Buy,10,469.45,ANDHRAPAP.NS,
